Configs.go init() called
Configs.go init() completed:   
event=calling handleCommandLineParams(), Config=mqtt-config, Environment=mqtt-config, debug=false 
level=info module=Homie-Service time:=2021-06-27T05:04:02.363884Z caller=service.go:138 pkg=services event="service started"
level=warn module=Homie-Service time:=2021-06-27T05:04:07.379932Z caller=usecase.go:141 pkg=deviceStorage Alert="LoadSchedules() Failed" error="no schedules available"
level=info module=Homie-Service time:=2021-06-27T05:04:07.392201Z caller=main.go:141 ui=api event="starting server" serving=:9090
level=info module=Homie-Service time:=2021-06-27T05:05:23.640003Z caller=middlewares.go:59 ui=api status=404 method=GET path=/swagger.yml duration=59.746µs
level=info module=Homie-Service time:=2021-06-27T05:05:23.785611Z caller=middlewares.go:59 ui=api status=404 method=GET path=/apple-touch-icon-precomposed.png duration=33.855µs
level=info module=Homie-Service time:=2021-06-27T05:05:23.786209Z caller=middlewares.go:59 ui=api status=404 method=GET path=/apple-touch-icon.png duration=7.965µs
level=info module=Homie-Service time:=2021-06-27T05:05:44.833752Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=18.703µs
level=info module=Homie-Service time:=2021-06-27T05:05:45.27374Z caller=middlewares.go:59 ui=api status=404 method=GET path=/swagger.yaml duration=76.897µs
level=info module=Homie-Service time:=2021-06-27T05:06:52.005854Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=20.849µs
level=info module=Homie-Service time:=2021-06-27T05:06:52.13849Z caller=middlewares.go:59 ui=api status=200 method=GET path=/swagger.yaml duration=5.23265ms
level=info module=Homie-Service time:=2021-06-27T05:07:01.465293Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=12.368µs
level=info module=Homie-Service time:=2021-06-27T05:07:01.585777Z caller=middlewares.go:59 ui=api status=304 method=GET path=/swagger.yaml duration=83.588µs
level=info module=Homie-Service time:=2021-06-27T05:14:33.298903Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=23.582µs
level=info module=Homie-Service time:=2021-06-27T05:14:33.406604Z caller=middlewares.go:59 ui=api status=200 method=GET path=/swagger.yaml duration=136.871µs
level=info module=Homie-Service time:=2021-06-27T05:15:08.699374Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=14.391µs
level=info module=Homie-Service time:=2021-06-27T05:15:08.82903Z caller=middlewares.go:59 ui=api status=200 method=GET path=/swagger.yaml duration=80.943µs
level=info module=Homie-Service time:=2021-06-27T05:15:53.750468Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=10.939µs
level=info module=Homie-Service time:=2021-06-27T05:15:53.85621Z caller=middlewares.go:59 ui=api status=304 method=GET path=/swagger.yaml duration=95.03µs
level=info module=Homie-Service time:=2021-06-27T05:19:28.713425Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=27.12µs
level=info module=Homie-Service time:=2021-06-27T05:19:28.820674Z caller=middlewares.go:59 ui=api status=200 method=GET path=/swagger.yaml duration=103.727µs
level=info module=Homie-Service time:=2021-06-27T05:29:41.937902Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=27.459µs
level=info module=Homie-Service time:=2021-06-27T05:29:42.044251Z caller=middlewares.go:59 ui=api status=200 method=GET path=/swagger.yaml duration=113.267µs
level=info module=Homie-Service time:=2021-06-27T05:31:11.33707Z caller=middlewares.go:59 ui=api status=200 method=GET path=/docs duration=23.279µs
